interval_begin,interval_end,interval_id,interval_meanDurationWithin,interval_meanHaltsPerVehicle,interval_meanHaltsPerVehicleWithin,interval_meanIntervalDurationWithin,interval_meanIntervalHaltsPerVehicleWithin,interval_meanIntervalSpeedWithin,interval_meanOverlapTravelTime,interval_meanSpeed,interval_meanSpeedWithin,interval_meanTimeLoss,interval_meanTimeLossWithin,interval_meanTravelTime,interval_vehicleSum,interval_vehicleSumWithin
0.00,300.00,SA2,121.45,0.15,1.60,121.45,1.60,4.54,11.10,5.52,4.54,7.64,37.89,10.58,20,5
300.00,600.00,SA2,98.17,0.12,1.12,98.17,1.12,6.48,9.61,5.89,6.48,6.14,34.06,9.10,24,8
600.00,900.00,SA2,68.74,0.05,0.31,68.74,0.31,5.48,6.94,6.33,5.48,3.49,17.81,6.43,21,13
900.00,1200.00,SA2,117.82,0.14,1.00,115.34,1.00,4.34,10.50,5.42,4.36,7.10,43.08,9.99,21,10
1200.00,1500.00,SA2,105.07,0.08,0.67,105.07,0.67,5.70,7.16,6.10,5.70,3.72,23.74,6.63,26,9
1500.00,1800.00,SA2,57.85,0.12,0.40,57.85,0.40,5.21,9.72,5.78,5.21,6.26,16.57,9.21,25,5
1800.00,2100.00,SA2,70.06,0.20,0.50,70.06,0.50,3.23,12.68,5.00,3.23,9.06,19.95,12.15,15,6
2100.00,2400.00,SA2,101.83,0.12,1.29,101.83,1.29,5.06,9.66,5.89,5.06,6.40,34.40,9.15,24,7
2400.00,2700.00,SA2,131.41,0.10,1.43,95.02,1.00,5.20,9.32,5.94,5.26,5.86,38.59,8.80,30,7
2700.00,3000.00,SA2,71.19,0.18,0.40,71.19,0.40,5.19,12.58,5.90,5.19,9.33,13.31,12.07,11,5
3000.00,3300.00,SA2,60.31,0.14,0.29,60.31,0.29,5.38,9.39,5.53,5.38,5.95,17.51,8.89,21,7
3300.00,3600.00,SA2,67.86,0.12,0.33,67.86,0.33,6.38,9.64,5.51,6.38,6.18,17.46,9.12,24,3
