interval_begin,interval_end,interval_id,interval_meanDurationWithin,interval_meanHaltsPerVehicle,interval_meanHaltsPerVehicleWithin,interval_meanIntervalDurationWithin,interval_meanIntervalHaltsPerVehicleWithin,interval_meanIntervalSpeedWithin,interval_meanOverlapTravelTime,interval_meanSpeed,interval_meanSpeedWithin,interval_meanTimeLoss,interval_meanTimeLossWithin,interval_meanTravelTime,interval_vehicleSum,interval_vehicleSumWithin
0.00,300.00,int_1,4.31,0.38,0.50,4.31,0.50,1.15,18.09,4.63,1.15,12.87,2.48,17.54,16,2
300.00,600.00,int_1,-1.00,0.44,-1.00,-1.00,-1.00,-1.00,18.90,4.38,-1.00,13.60,-1.00,18.33,18,0
600.00,900.00,int_1,-1.00,0.38,-1.00,-1.00,-1.00,-1.00,15.77,4.93,-1.00,10.60,-1.00,15.21,16,0
900.00,1200.00,int_1,4.32,0.38,0.50,4.32,0.50,0.99,18.17,4.72,0.99,12.98,2.42,17.59,16,2
1200.00,1500.00,int_1,-1.00,0.44,-1.00,-1.00,-1.00,-1.00,18.87,4.40,-1.00,13.61,-1.00,18.30,18,0
1500.00,1800.00,int_1,-1.00,0.38,-1.00,-1.00,-1.00,-1.00,15.62,5.12,-1.00,10.46,-1.00,15.07,16,0
1800.00,2100.00,int_1,5.04,0.38,1.00,5.04,1.00,1.14,18.14,4.79,1.14,12.95,3.44,17.57,16,2
2100.00,2400.00,int_1,-1.00,0.44,-1.00,-1.00,-1.00,-1.00,18.87,4.62,-1.00,13.78,-1.00,18.32,18,0
2400.00,2700.00,int_1,-1.00,0.38,-1.00,-1.00,-1.00,-1.00,15.78,4.95,-1.00,10.64,-1.00,15.22,16,0
2700.00,3000.00,int_1,4.72,0.38,1.00,4.72,1.00,1.36,17.90,4.94,1.36,12.76,3.35,17.32,16,2
3000.00,3300.00,int_1,-1.00,0.44,-1.00,-1.00,-1.00,-1.00,18.79,4.46,-1.00,13.71,-1.00,18.25,18,0
3300.00,3600.00,int_1,-1.00,0.38,-1.00,-1.00,-1.00,-1.00,16.03,4.80,-1.00,10.64,-1.00,15.46,16,0
