interval_begin,interval_end,interval_id,interval_meanDurationWithin,interval_meanHaltsPerVehicle,interval_meanHaltsPerVehicleWithin,interval_meanIntervalDurationWithin,interval_meanIntervalHaltsPerVehicleWithin,interval_meanIntervalSpeedWithin,interval_meanOverlapTravelTime,interval_meanSpeed,interval_meanSpeedWithin,interval_meanTimeLoss,interval_meanTimeLossWithin,interval_meanTravelTime,interval_vehicleSum,interval_vehicleSumWithin
0.00,300.00,e3_0,19.57,0.38,1.00,19.57,1.00,0.47,18.82,5.22,0.47,12.89,17.96,18.16,8,2
300.00,600.00,e3_0,4.94,0.50,0.00,4.94,0.00,7.49,21.58,4.52,7.49,15.55,0.59,20.90,8,4
600.00,900.00,e3_0,2.68,0.33,0.00,2.68,0.00,1.65,15.42,5.59,1.65,9.58,0.95,14.77,9,1
900.00,1200.00,e3_0,19.59,0.38,1.00,19.59,1.00,0.80,18.65,5.35,0.80,13.03,18.29,18.04,8,2
1200.00,1500.00,e3_0,4.29,0.44,0.00,4.29,0.00,7.09,19.94,4.73,7.09,13.82,0.63,19.24,9,3
1500.00,1800.00,e3_0,3.36,0.38,1.00,3.36,1.00,1.93,16.48,5.49,1.93,10.73,1.94,15.85,8,1
1800.00,2100.00,e3_0,19.75,0.38,1.00,19.75,1.00,0.69,19.64,4.64,0.69,13.14,18.38,18.92,8,2
2100.00,2400.00,e3_0,5.21,0.50,0.00,5.21,0.00,6.80,21.56,4.42,6.80,15.74,0.57,20.91,8,4
2400.00,2700.00,e3_0,2.65,0.33,0.00,2.65,0.00,1.99,15.25,5.68,1.99,9.51,1.00,14.62,9,1
2700.00,3000.00,e3_0,19.91,0.38,1.00,19.91,1.00,0.55,19.02,5.29,0.55,13.08,18.44,18.35,8,2
3000.00,3300.00,e3_0,5.43,0.50,0.00,5.43,0.00,5.91,21.41,4.60,5.91,15.55,0.86,20.77,8,4
3300.00,3600.00,e3_0,2.86,0.33,0.00,2.86,0.00,1.23,15.39,5.66,1.23,9.49,0.95,14.76,9,1
