tripinfo_arrival,tripinfo_arrivalLane,tripinfo_arrivalPos,tripinfo_arrivalSpeed,tripinfo_depart,tripinfo_departDelay,tripinfo_departLane,tripinfo_departPos,tripinfo_departSpeed,tripinfo_devices,tripinfo_duration,tripinfo_id,tripinfo_rerouteNo,tripinfo_routeLength,tripinfo_speedFactor,tripinfo_stopTime,tripinfo_timeLoss,tripinfo_vType,tripinfo_vaporized,tripinfo_waitingCount,tripinfo_waitingTime,emissions_CO2_abs,emissions_CO_abs,emissions_HC_abs,emissions_NOx_abs,emissions_PMx_abs,emissions_electricity_abs,emissions_fuel_abs
71.00,311212628#1_0,107.44,7.49,18.00,0.00,-389741419_0,5.10,0.00,tripinfo_6 emissions_6 fcd_6,53.00,6,0,476.10,1.03,0.00,14.57,DEFAULT_VEHTYPE,,0,0.00,175828.669145,3077.672783,18.124273,73.360785,3.264723,0,56081.285883
93.00,48202925#0_0,3.31,8.39,6.00,0.00,48583899#1_0,5.10,0.00,tripinfo_2 emissions_2 fcd_2,87.00,2,0,254.16,0.94,0.00,55.22,DEFAULT_VEHTYPE,,1,46.00,222960.543399,10266.965020,51.920968,97.120520,4.718293,0,71117.557365
93.00,-389741416_0,2.47,8.20,27.00,0.00,49577049#1_0,5.10,0.00,tripinfo_9 emissions_9 fcd_9,66.00,9,0,307.66,0.89,0.00,33.30,DEFAULT_VEHTYPE,,1,23.00,185753.659814,6524.000283,34.043113,79.820328,3.758612,0,59248.610716
118.00,285931678_0,100.10,6.62,33.00,0.00,399285452#3_0,5.10,0.00,tripinfo_11 emissions_11 fcd_11,85.00,11,0,515.30,0.86,0.00,16.58,DEFAULT_VEHTYPE,,1,2.00,178919.860928,4709.675967,25.569804,74.165388,3.133357,0,57068.398709
124.00,42492699#3_1,32.35,6.83,54.00,0.00,49582170_0,5.10,0.00,tripinfo_18 emissions_18 fcd_18,70.00,18,0,450.05,0.88,0.00,9.15,DEFAULT_VEHTYPE,,0,0.00,142748.549635,3505.625722,19.185558,56.809990,2.117174,0,45531.438381
156.00,337277984#6_1,140.87,7.37,117.00,0.00,337277984#5_0,5.10,0.00,tripinfo_39 emissions_39 fcd_39,39.00,39,0,254.39,1.01,0.00,7.96,DEFAULT_VEHTYPE,,0,0.00,85326.519462,2159.593421,11.800840,35.266208,1.480736,0,27215.765497
166.00,-972644144#1_0,71.12,14.00,39.00,0.00,-48202923_0,5.10,0.00,tripinfo_13 emissions_13 fcd_13,127.00,13,0,930.04,1.03,0.00,56.86,DEFAULT_VEHTYPE,,1,38.00,378475.144229,10446.586617,55.966662,156.795650,7.150064,0,120718.587044
170.00,42201276#2_0,205.35,6.33,21.00,0.00,47861233_0,5.10,0.00,tripinfo_7 emissions_7 fcd_7,149.00,7,0,845.14,0.83,0.00,36.25,DEFAULT_VEHTYPE,,1,18.00,311462.047136,9629.375147,50.943705,127.393233,5.232599,0,99345.326641
186.00,894151134#0_0,21.88,7.66,48.00,0.00,42195044#7_0,5.10,0.00,tripinfo_16 emissions_16 fcd_16,138.00,16,0,390.71,0.99,0.00,85.80,DEFAULT_VEHTYPE,,3,68.00,346273.035829,15963.521047,80.722223,151.783868,7.491557,0,110450.279338
194.00,-389741419_0,106.76,13.63,0.00,0.00,45421575#3_0,0.20,0.00,tripinfo_0 emissions_0 fcd_0,194.00,0,0,943.28,1.06,0.00,115.89,DEFAULT_VEHTYPE,,3,90.00,555432.038380,20577.779928,106.464742,237.440608,11.343694,0,177163.136311
196.00,492470513#0_0,95.95,7.08,96.00,0.00,542434369#1_0,5.10,0.00,tripinfo_32 emissions_32 fcd_32,100.00,32,0,426.19,0.92,0.00,55.69,DEFAULT_VEHTYPE,,2,42.00,267559.812122,10290.560781,53.078017,115.667788,5.562280,0,85342.193763
199.00,48501815#4_0,207.41,14.72,45.00,0.00,49577049#1_0,5.10,0.00,tripinfo_15 emissions_15 fcd_15,154.00,15,0,1150.89,1.12,0.00,70.09,DEFAULT_VEHTYPE,,2,34.00,479821.066537,12512.450914,67.854190,199.882649,9.086233,0,153043.371563
202.00,42201277#0_0,62.32,6.92,51.00,0.00,416775490#0_0,0.20,0.00,tripinfo_17 emissions_17 fcd_17,151.00,17,0,852.98,0.93,0.00,72.66,DEFAULT_VEHTYPE,,2,55.00,397005.528167,13659.562245,71.294765,167.589089,7.761744,0,126630.429190
218.00,604749597_1,56.51,13.51,78.00,0.00,337277984#5_0,5.10,0.00,tripinfo_26 emissions_26 fcd_26,140.00,26,0,808.77,0.97,0.00,67.36,DEFAULT_VEHTYPE,,2,52.00,367089.093307,12613.688972,65.818831,154.500646,7.125888,0,117088.214371
222.00,389741417#1_0,73.13,13.23,165.00,0.00,552651836_0,5.10,0.00,tripinfo_55 emissions_55 fcd_55,57.00,55,0,547.09,1.00,0.00,7.70,DEFAULT_VEHTYPE,,0,0.00,161209.055580,2596.983944,15.548849,64.535672,2.621133,0,51418.605401
223.00,-604749597_0,56.51,13.59,9.00,0.00,554582109#2_0,0.20,0.00,tripinfo_3 emissions_3 fcd_3,214.00,3,0,1308.97,1.01,0.00,95.78,DEFAULT_VEHTYPE,,2,68.00,604259.049459,18768.494631,99.533865,256.068801,11.893076,0,192735.410783
