interval_begin;interval_end;interval_id;interval_meanDurationWithin;interval_meanHaltsPerVehicle;interval_meanHaltsPerVehicleWithin;interval_meanIntervalDurationWithin;interval_meanIntervalHaltsPerVehicleWithin;interval_meanIntervalSpeedWithin;interval_meanOverlapTravelTime;interval_meanSpeed;interval_meanSpeedWithin;interval_meanTimeLoss;interval_meanTimeLossWithin;interval_meanTravelTime;interval_vehicleSum;interval_vehicleSumWithin
0;300;RA2;117.55;0;1.33;117.55;1.33;3.05;6;5.63;3.05;0.78;55.17;5.13;3;3
300;600;RA2;102.19;-1;1.5;102.19;1.5;4.02;-1;-1;4.02;-1;48.94;-1;0;8
600;900;RA2;102.48;0.5;1;102.48;1;3.84;24.14;3.53;3.84;18.98;40.32;23.27;2;3
900;1200;RA2;82.01;0;1.42;82.01;1.42;2.11;6.21;5.44;2.11;1;47.83;5.28;1;12
1200;1500;RA2;116.94;0;2;116.94;2;3.35;5.64;5.97;3.35;0.39;71.99;4.82;1;5
1500;1800;RA2;80.55;0;1.88;80.55;1.88;1.74;5.66;6.04;1.74;0.49;45.46;4.85;1;8
1800;2100;RA2;114.14;-1;2.67;114.14;2.67;3.52;-1;-1;3.52;-1;63.31;-1;0;3
2100;2400;RA2;87.71;-1;1.29;87.71;1.29;1.97;-1;-1;1.97;-1;50.39;-1;0;7
2400;2700;RA2;71.57;0;1.25;71.57;1.25;3.72;5.82;5.83;3.72;0.66;26.71;4.96;1;4
2700;3000;RA2;88.34;0;1.3;88.34;1.3;4.14;5.83;5.82;4.14;0.69;33.37;4.97;1;10
3000;3300;RA2;81.59;0;2;81.59;2;0.92;6.15;5.31;0.92;0.8;57.68;5.28;2;3
3300;3600;RA2;83.71;1;1.67;83.71;1.67;3.85;58.2;0.59;3.85;53.06;48.81;57.35;1;3
3600;3900;RA2;93.64;0;1.5;93.64;1.5;2.18;5.89;5.7;2.18;0.67;47.01;5.07;4;4
3900;4200;RA2;34.87;0.67;0.33;34.87;0.33;4.63;45.25;2.3;4.63;39.87;13.53;44.41;3;9
4200;4500;RA2;56.56;0;1.4;56.56;1.4;1.6;6.24;5.33;1.6;0.93;39.91;5.34;3;5
4500;4800;RA2;55.04;0;1;55.04;1;3.64;5.79;5.8;3.64;0.59;37.78;4.95;7;4
4800;5100;RA2;23.73;0.17;0.25;23.73;0.25;5.11;15.4;4.62;5.11;9.73;10.1;14.44;6;4
5100;5400;RA2;74.12;0;1.33;74.12;1.33;2.68;5.88;5.71;2.68;0.64;36.86;5.03;7;6
5400;5700;RA2;40.89;0.4;0.5;40.89;0.5;4.02;25.46;3.73;4.02;20.12;23.52;24.61;5;2
5700;6000;RA2;109.64;0.17;2;109.64;2;2.48;12.36;4.89;2.48;7.05;58.68;11.49;6;7
6000;6300;RA2;57.95;0;1.1;57.95;1.1;4.2;5.75;5.85;4.2;0.57;32.48;4.9;9;10
6300;6600;RA2;92.81;0.33;1.2;92.81;1.2;1.48;25.84;4.06;1.48;20.59;57.59;25.02;3;5
6600;6900;RA2;56.58;0.2;1.11;56.58;1.11;4.92;15.86;4.79;4.92;10.63;20.6;15.01;5;9
6900;7200;RA2;57.41;0;0.9;57.41;0.9;2.41;5.7;5.87;2.41;0.48;36.43;4.86;3;10
7200;7500;RA2;41.39;0;0.8;41.39;0.8;3.94;6.14;5.62;3.94;0.57;18.22;5.17;8;5
7500;7800;RA2;70.64;0.09;0.78;70.3;0.78;4.75;10.36;5.32;4.75;5.14;31.85;9.52;11;9
7800;8100;RA2;111.74;0.33;1.43;111.74;1.43;2.48;22.36;4.15;2.48;17.13;65.97;21.53;3;7
8100;8400;RA2;99.41;0.17;1.88;99.41;1.88;3.88;16.06;4.74;3.88;10.88;45.84;15.23;6;8
8400;8700;RA2;87.29;0;1.18;87.29;1.18;1.94;5.71;5.85;1.94;0.49;50.42;4.85;2;11
8700;9000;RA2;122.93;0.14;2.33;122.93;2.33;2.63;11.07;5.15;2.63;5.87;72.04;10.22;7;3
9000;9300;RA2;76.37;0.17;1.17;76.37;1.17;1.89;14.85;4.98;1.89;9.68;46.3;14.01;6;6
9300;9600;RA2;43.26;0.12;0.75;43.26;0.75;3.68;11.68;4.79;3.68;6.02;17.39;10.69;8;8
9600;9900;RA2;74.31;0.33;1.1;74.31;1.1;4.22;22.58;4.12;4.22;17.39;39.99;21.74;6;10
9900;10200;RA2;63.8;0;0.83;63.8;0.83;4.24;5.96;5.63;4.24;0.68;12.89;5.12;5;6
10200;10500;RA2;53.89;0.67;0.57;53.89;0.57;4.52;40.22;2.35;4.52;34.91;29.06;39.35;6;7
10500;10800;RA2;38.49;0.2;1;38.49;1;1.09;15.59;4.75;1.09;10.26;25.9;14.78;5;5
10800;11100;RA2;80.36;0.12;1.33;80.36;1.33;4.08;10.06;4.92;4.08;4.83;30.56;9.2;8;3
11100;11400;RA2;57.26;0;1.25;57.26;1.25;1.2;6.03;5.54;1.2;0.77;37.12;5.16;6;4
11400;11700;RA2;74.52;0.43;0.4;74.52;0.4;4.7;31.29;2.85;4.7;25.66;24.67;30.21;7;5
11700;12000;RA2;25.6;0.25;0.6;25.6;0.6;3.36;17.61;4.49;3.36;12.44;18.89;16.77;4;5
12000;12300;RA2;106.87;0.08;2;106.87;2;2.8;8.45;5.3;2.8;3.23;55.34;7.61;12;5
12300;12600;RA2;106.53;0.4;1.5;106.53;1.5;3.16;27.3;3.58;3.16;21.86;58.83;26.44;5;8
12600;12900;RA2;112.81;0.25;1.4;112.81;1.4;2.69;16.65;4.51;2.69;11.43;53.51;15.78;8;5
12900;13200;RA2;49.31;0;1.17;49.31;1.17;4.11;5.84;5.82;4.11;0.67;26.5;4.97;8;6
13200;13500;RA2;119.96;0.17;1.38;119.96;1.38;2.83;12.72;4.72;2.83;7.07;44.75;11.73;6;8
13500;13800;RA2;99.69;0.12;1.25;99.69;1.25;4.25;12.78;5.11;4.25;7.61;49.9;11.94;8;4
13800;14100;RA2;78.93;0.14;1.4;78.93;1.4;0.63;14.5;5.01;0.63;9.27;65.03;13.66;7;5
14100;14400;RA2;73.06;0;1.17;73.06;1.17;3.41;5.85;5.72;3.41;0.61;34.58;5.01;9;6
14400;14700;RA2;66.5;0.38;1;66.5;1;3.15;20.82;3.77;3.15;15.49;30.55;19.98;8;3
14700;15000;RA2;79.92;0.14;1.38;79.92;1.38;2.19;13.38;4.98;2.19;8.17;46.17;12.54;7;8
15000;15300;RA2;74;0.25;1;74;1;4.88;18.87;4.41;4.88;13.49;33.65;18.05;8;3
15300;15600;RA2;70.59;0.18;1.22;70.59;1.22;2.31;14.37;4.35;2.31;8.85;41.66;13.41;11;9
15600;15900;RA2;87.97;0.33;2;87.97;2;2.71;18.04;4.18;2.71;12.51;63.63;17.25;3;4
15900;16200;RA2;82.1;0.25;1.4;82.1;1.4;0.99;19.97;4.01;0.99;14.05;54.27;18.89;4;5
16200;16500;RA2;55.94;0.06;0.75;55.94;0.75;4.56;7.99;5.39;4.56;2.62;20.5;7.13;18;4
16500;16800;RA2;47.11;0.57;1;47.11;1;3.77;26.35;3.13;3.77;21.13;24.3;25.49;7;8
16800;17100;RA2;52.74;0.12;0.86;52.74;0.86;3.53;12.91;5.13;3.53;7.71;21.97;12.07;8;7
17100;17400;RA2;71.95;0.33;1.5;71.95;1.5;3.35;13.48;4.36;3.35;8.29;44.27;12.64;3;4
17400;17700;RA2;145.29;0.18;2.5;145.29;2.5;2.61;13.19;4.87;2.61;7.99;92.71;12.34;11;10
17700;18000;RA2;68.56;0.2;1.25;68.56;1.25;4.31;15.41;4.54;4.31;9.68;27.74;14.36;5;4
18000;18300;RA2;43.63;0.33;0.75;43.63;0.75;2.11;23.94;4.02;2.11;18.65;32.2;23.09;6;4
18300;18600;RA2;37.25;0.33;0.75;37.25;0.75;5.42;21.82;3.99;5.42;16.47;13.73;20.98;9;4
18600;18900;RA2;73.47;0.33;1.29;73.47;1.29;2.21;13.42;3.78;2.21;7.41;45.95;12.21;3;7
18900;19200;RA2;78.84;0.17;1.25;78.84;1.25;3.09;13.55;4.82;3.09;8.29;48.47;12.7;6;4
19200;19500;RA2;42.38;0;0.57;42.38;0.57;5.04;5.9;5.71;5.04;0.72;23.01;5.03;5;7
19500;19800;RA2;52.45;0.22;0.8;52.45;0.8;3.68;14.9;4.61;3.68;9.68;18.55;14.07;9;10
19800;20100;RA2;52.86;0.25;0.5;52.86;0.5;3.79;19.05;4.33;3.79;13.54;31.56;18.04;8;2
20100;20400;RA2;47.68;0.43;1.2;47.68;1.2;1.14;25.14;3.66;1.14;19.95;31.28;24.29;7;5
20400;20700;RA2;28.55;0.25;0.5;28.55;0.5;4.2;16.41;4.27;4.2;10.95;15.9;15.47;12;2
20700;21000;RA2;75.83;0.17;1.4;75.83;1.4;0.97;13.58;4.3;0.97;7.89;45.9;12.51;6;5
21000;21300;RA2;64.45;0.09;1.12;64.45;1.12;4.47;10.94;5.43;4.47;5.77;22.65;10.08;11;8
21300;21600;RA2;55.12;0.4;1.17;55.12;1.17;3.88;19.64;3.76;3.88;14.43;27.23;18.82;5;6
21600;21900;RA2;115.75;0.17;1.71;115.75;1.71;2.71;13.15;4.61;2.71;7.43;63.5;12.15;6;7
21900;22200;RA2;48.79;0;1.67;48.79;1.67;2.99;5.93;5.62;2.99;0.61;29.36;5.1;2;3
22200;22500;RA2;79.23;0.2;1.62;79.23;1.62;1.81;14.02;4.68;1.81;8.74;49.72;13.15;5;8
22500;22800;RA2;87.64;0.17;1;87.64;1;3.52;15.38;4.68;3.52;9.91;40.48;14.46;12;3
22800;23100;RA2;113.75;0.2;1.75;113.75;1.75;1.68;14.4;4.48;1.68;8.65;64.16;13.4;5;8
23100;23400;RA2;66.56;0.2;0.89;66.56;0.89;4.75;17.39;4.26;4.75;11.89;24.79;16.41;10;9
23400;23700;RA2;6.19;0.17;0;6.19;0;5.63;9.86;5.02;5.63;4.68;0.63;9.03;6;3
23700;24000;RA2;19.73;0.18;1;19.73;1;0.73;16.19;4.73;0.73;10.98;17.55;15.34;11;1
24000;24300;RA2;66.27;0.3;1;66.27;1;3.93;22.29;4.1;3.93;17.03;34.02;21.43;10;10
24300;24600;RA2;30.22;0.14;1;30.22;1;1.3;12.23;4.96;1.3;6.91;18.81;11.39;7;4
24600;24900;RA2;59.21;0.17;0.6;59.21;0.6;4.63;14.7;4.99;4.63;9.53;23.54;13.86;12;5
24900;25200;RA2;66.99;0.5;1.17;66.99;1.17;2.19;30.51;3.14;2.19;25.31;35.23;29.66;2;6
25200;25500;RA2;109.28;0.38;1.88;109.28;1.88;2.89;23.71;3.63;2.89;18.14;63.98;22.76;8;8
25500;25800;RA2;68.56;0.5;1.2;68.56;1.2;1.04;34.49;3.15;1.04;29.3;49.21;33.63;4;5
25800;26100;RA2;13.87;0.25;1;13.87;1;1.02;9.97;4.75;1.02;4.71;11.66;9.12;8;1
26100;26400;RA2;61.03;0.33;0.5;61.03;0.5;4.52;18.21;4.11;4.52;13.02;25.62;17.33;3;14
26400;26700;RA2;37.52;0.29;1;37.52;1;1.25;19.07;4.36;1.25;13.84;27.69;18.22;7;4
26700;27000;RA2;67.45;0.14;1.43;67.45;1.43;3.63;9.41;5.14;3.63;4.18;35.06;8.56;7;7
27000;27300;RA2;117.87;0;1.62;114.53;1.5;1.91;5.69;5.99;1.92;0.54;61.21;4.86;7;8
27300;27600;RA2;63.61;0.43;0.8;63.61;0.8;4.95;17.29;3.61;4.95;11.98;18.86;16.44;7;5
27600;27900;RA2;23.8;0.17;0.75;23.8;0.75;1.09;14.81;4.85;1.09;9.56;22.11;13.97;6;4
27900;28200;RA2;102.9;0;2;102.9;2;2.72;5.81;5.75;2.72;0.56;63.69;4.91;3;6
28200;28500;RA2;79.24;0.25;1.22;79.24;1.22;3.43;20.36;4.59;3.43;15.04;48.25;19.53;4;9
28500;28800;RA2;53.65;0.17;0.67;53.65;0.67;3.71;15.05;4.95;3.71;9.89;16.33;14.21;6;6
28800;29100;RA2;85.19;0.5;1.33;85.19;1.33;4.5;30;3.17;4.5;24.78;38.87;29.16;8;6
29100;29400;RA2;66.13;0;1.17;66.13;1.17;2.5;6.25;5.34;2.5;0.99;36.94;5.32;1;6
29400;29700;RA2;70.52;0.25;1;70.52;1;4.8;15.67;4.42;4.8;10.46;34.3;14.83;8;6
29700;30000;RA2;55.04;0;1.25;55.04;1.25;0.94;5.86;5.71;0.94;0.65;41.21;5.01;7;4
30000;30300;RA2;89.76;0.33;2;89.76;2;1.35;25.36;3.54;1.35;19.45;71.28;24.29;6;1
30300;30600;RA2;66.36;0;1.38;66.36;1.38;3.1;5.65;5.88;3.1;0.51;37.7;4.8;2;8
30600;30900;RA2;40.48;0.27;0.75;40.48;0.75;2.9;16.8;4.32;2.9;11.28;17.06;15.86;11;4
30900;31200;RA2;13.17;0.36;0;13.17;0;5.53;23.56;3.51;5.53;18.08;1.57;22.6;11;6
31200;31500;RA2;120.14;0;1.86;120.14;1.86;2.73;5.87;5.83;2.73;0.72;57.93;5;5;7
31500;31800;RA2;3.88;0.29;0;3.88;0;6.07;22.03;3.96;6.07;16.76;0.06;21.19;7;1
31800;32100;RA2;76.75;0.17;1.57;76.75;1.57;2.48;13.15;5.04;2.48;7.9;37.42;12.32;6;7
32100;32400;RA2;48.56;0.11;0.86;48.56;0.86;5;8.77;5.13;5;3.54;17.02;7.92;9;7
32400;32700;RA2;58.15;0.12;0.75;58.15;0.75;1.63;13.17;5.26;1.63;7.99;39.93;12.35;8;4
32700;33000;RA2;168.2;0.18;2;168.2;2;3.44;14.91;4.76;3.44;9.72;79.62;14.06;11;2
33000;33300;RA2;41.53;0.38;0.57;41.53;0.57;3.25;20.96;3.91;3.25;15.78;24.95;20.09;8;7
33300;33600;RA2;93.2;0.22;1.43;87;1.29;2.88;12.19;4.68;2.86;6.98;43.14;11.31;9;7
33600;33900;RA2;72.9;0.5;1.14;72.9;1.14;4.32;30.11;2.88;4.32;24.27;34.02;29.09;6;7
33900;34200;RA2;64.27;0;1.33;64.27;1.33;3.32;5.89;5.73;3.32;0.68;28.42;5.02;5;6
34200;34500;RA2;79.49;0.3;2;79.49;2;3.34;21.46;3.79;3.34;15.65;41.18;20.43;10;3
34500;34800;RA2;78.25;0;1;78.25;1;2.27;5.89;5.67;2.27;0.63;40.34;5.07;5;6
34800;35100;RA2;109.15;0.38;1.75;109.15;1.75;2.07;24.01;3.77;2.07;18.82;72.37;23.16;8;8
35100;35400;RA2;41.3;0.33;0.71;41.3;0.71;4.05;24.18;3.96;4.05;18.92;21.23;23.34;6;7
35400;35700;RA2;66.83;0;1.4;66.83;1.4;4.08;5.98;5.58;4.08;0.74;31.99;5.12;3;5
35700;36000;RA2;94.62;0.3;1.6;94.62;1.6;3.97;17.65;4.24;3.97;12.38;44.23;16.78;10;5
36000;36300;RA2;71.81;0.06;1.44;71.81;1.44;1.54;8.06;5.56;1.54;2.87;46.06;7.21;18;9
36300;36600;RA2;78.44;0;2;78.44;2;1.5;5.95;5.63;1.5;0.73;59.72;5.09;11;2
36600;36900;RA2;71.56;0.12;1;71.56;1;1.73;12.78;5.2;1.73;7.6;36.87;11.95;8;5
36900;37200;RA2;55.7;0.12;1.5;55.7;1.5;4.47;12;5.24;4.47;6.79;24.72;11.15;8;2
37200;37500;RA2;61.16;0.2;1;61.16;1;1.18;11.33;4.6;1.18;5.96;47.28;10.49;5;6
37500;37800;RA2;44.06;0.22;1;44.06;1;4.24;18.24;4.72;4.24;13.05;13.42;17.38;9;3
37800;38100;RA2;5.18;0.12;0;5.18;0;5.39;13.45;5.08;5.39;8.24;0.65;12.58;8;4
38100;38400;RA2;98.54;0;2.25;98.54;2.25;2.87;6.3;5.4;2.87;0.75;51.84;5.36;10;4
38400;38700;RA2;69.89;0.09;1;69.89;1;4.66;10.58;5.04;4.66;5.31;42.54;9.73;11;3
38700;39000;RA2;80.46;0;1.33;80.46;1.33;2.2;5.79;5.89;2.2;0.62;44.22;4.93;6;9
